Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,14-Jan-19,683.5,707,710.2,695.95,701.3,701.9,701.27,19312937,13543620376,289248,7316609,37.88
INFY,EQ,15-Jan-19,701.9,707.2,730,707.2,728.3,726.6,721.52,19671304,14193222353,285205,8770235,44.58
INFY,EQ,16-Jan-19,726.6,729.9,737.8,728.5,735.95,736.8,734.12,9658944,7090838080,175301,3769918,39.03
INFY,EQ,17-Jan-19,736.8,735.8,739,729.1,733.2,733.35,733.06,6903771,5060865130,155361,3662842,53.06
INFY,EQ,18-Jan-19,733.35,730,736.2,726.3,734,730.95,730.43,5902151,4311101798,117506,3555997,60.25
INFY,EQ,21-Jan-19,730.95,738.2,751,734,743.25,745,744.87,8129422,6055327086,207759,4205100,51.73
INFY,EQ,22-Jan-19,745,741.25,749,734,747,745.35,739.94,6723375,4974904339,184880,4348471,64.68
INFY,EQ,23-Jan-19,745.35,742.35,742.6,729.2,731.65,731.65,735.7,7212099,5305910422,114457,4265475,59.14
INFY,EQ,24-Jan-19,731.65,728.1,736.1,721,734,732,727.66,7429783,5406365018,138534,3721327,50.09
INFY,EQ,25-Jan-19,732,728,737.9,724.25,730.3,730.35,731.7,5543112,4055912046,86157,3056302,55.14
INFY,EQ,28-Jan-19,730.35,731,732.6,719,731,727.95,725.12,7944693,5760882919,128705,5442114,68.5
INFY,EQ,29-Jan-19,727.95,725.5,732.85,716.5,730.05,727.9,721.76,6760819,4879714903,137242,4100300,60.65
INFY,EQ,30-Jan-19,727.9,727.9,734.8,721.1,724.3,725.9,726.45,5763026,4186556192,125751,3267862,56.7
INFY,EQ,31-Jan-19,725.9,726,751.3,726,750,749.55,744.47,13825233,10292423935,265809,8145259,58.92
INFY,EQ,1-Feb-19,749.55,751.35,762.5,744.5,756.7,757.05,753.37,6276585,4728608322,119145,2274954,36.25
INFY,EQ,4-Feb-19,757.05,757,762.5,749.2,755.9,755.9,754.39,3945391,2976361897,110537,1894178,48.01
INFY,EQ,5-Feb-19,755.9,747,759.95,747,755,754.85,753.48,4694366,3537094843,98651,2610466,55.61
INFY,EQ,6-Feb-19,754.85,755.55,766.95,754.35,763.75,763.3,762.75,5880482,4485360735,150791,3188901,54.23
INFY,EQ,7-Feb-19,763.3,763.05,769.45,761,763,764,766.2,3961797,3035522378,102039,2154773,54.39
INFY,EQ,8-Feb-19,764,760,772.25,754.9,760.9,760.9,763.4,5915169,4515625944,92824,2722938,46.03
INFY,EQ,11-Feb-19,760.9,766.9,768.75,759,760.45,762.8,764.82,5500216,4206653296,101154,3149841,57.27
INFY,EQ,12-Feb-19,762.8,760.35,760.35,741,750.4,750.45,748.38,7310690,5471189241,148513,3259568,44.59
INFY,EQ,13-Feb-19,750.45,750.1,759.7,743.65,754,754.9,753.01,5050182,3802821368,133702,2418277,47.88
INFY,EQ,14-Feb-19,754.9,751,753,737.25,740.35,740.05,745.6,4610535,3437611370,113149,2466085,53.49
INFY,EQ,15-Feb-19,740.05,742.3,746.5,732.6,742.05,741.95,739.44,5586389,4130795666,93850,2900003,51.91
INFY,EQ,18-Feb-19,741.95,742.35,747.65,736,741,741.05,739.9,5346825,3956112148,105532,3060004,57.23
INFY,EQ,19-Feb-19,741.05,739.1,740.55,721.3,724,724.3,726.7,9401334,6831940831,124664,4041288,42.99
INFY,EQ,20-Feb-19,724.3,727,743,726.05,740.55,740.7,734.78,5210675,3828686486,130965,2558375,49.1
INFY,EQ,21-Feb-19,740.7,738,738,727.1,734,733.45,732.23,7202786,5274097399,151794,4504900,62.54
INFY,EQ,22-Feb-19,733.45,732.5,738.2,728,734.9,734.95,733.71,3750833,2752041713,99246,1775166,47.33
INFY,BL,25-Feb-19,1220.15,734.95,734.95,734.95,734.95,734.95,734.95,1263230,928410888.5,1,0,0
INFY,EQ,25-Feb-19,734.95,735.55,758,735.55,755,754.9,749.2,6547552,4905413918,155205,3296211,50.34
INFY,EQ,26-Feb-19,754.9,748.6,752.6,740.15,741.55,742.5,745.77,8319610,6204521714,188778,5101741,61.32
INFY,EQ,27-Feb-19,742.5,745,746.4,732.75,734.5,735.25,738.56,5936354,4384324580,181469,3554571,59.88
INFY,EQ,28-Feb-19,735.25,738.7,742.4,732.3,734.7,734.3,735.59,8559921,6296619714,142436,4612032,53.88
INFY,EQ,1-Mar-19,734.3,735.5,743.4,735.5,741.8,741.9,740,3998826,2959115940,86883,2141670,53.56
INFY,EQ,5-Mar-19,741.9,740.5,742.5,730.25,732.75,732.5,734.79,4826505,3546464354,187167,2953053,61.18
INFY,EQ,6-Mar-19,732.5,736.1,736.1,727,732.25,732.5,732.02,6076668,4448254459,201307,3216638,52.93
INFY,EQ,7-Mar-19,732.5,734,734.5,720.55,723.3,722.95,724.84,5951551,4313906550,132988,3097595,52.05
INFY,EQ,8-Mar-19,722.95,722.95,722.95,710.65,713.2,712.35,714.77,7193994,5142023172,154378,3414734,47.47
INFY,EQ,11-Mar-19,712.35,713.3,718.5,709.4,711.05,711.25,712.07,9932198,7072398151,173911,6593102,66.38
INFY,EQ,12-Mar-19,711.25,709,714.95,705.6,706.75,706.95,708.99,11997387,8505977967,224748,8806754,73.41
INFY,EQ,13-Mar-19,706.95,710,718.6,706.3,709,708.45,710.81,11348867,8066893617,183506,5754904,50.71
INFY,EQ,14-Mar-19,708.45,714,714.9,706.2,708.45,708.35,710.02,6415187,4554911141,158840,3794127,59.14
INFY,EQ,15-Mar-19,708.35,712,723.75,709.6,720,718.55,717.57,14638664,10504207795,174230,9286884,63.44
INFY,EQ,18-Mar-19,718.55,721.55,723.7,705.35,709.5,710.2,715,8065544,5766884632,169894,4656010,57.73
INFY,EQ,19-Mar-19,710.2,712.8,726.5,707.4,725.9,722.25,715.22,8917337,6377897941,165399,5704607,63.97
INFY,EQ,20-Mar-19,722.25,727.25,742.3,727.15,737.8,738.95,737.53,13471173,9935368276,368666,6929551,51.44
INFY,BL,22-Mar-19,734.95,738.95,738.95,738.95,738.95,738.95,738.95,1727935,1276857568,1,1727935,100
INFY,EQ,22-Mar-19,738.95,745,746.35,732.3,745,743.1,741.4,8883260,6586009783,186950,5182729,58.34
INFY,EQ,25-Mar-19,743.1,742.4,742.4,730.55,733.95,735.25,735.24,7644966,5620907955,150353,4078146,53.34
INFY,EQ,26-Mar-19,735.25,735.25,735.25,719.1,727.8,727.75,724.65,9406261,6816221095,220918,5868934,62.39
INFY,EQ,27-Mar-19,727.75,730,732.3,727.15,728.9,729.7,730.32,7387487,5395199921,122789,5505910,74.53
INFY,EQ,28-Mar-19,729.7,730,745,730,739.1,737.8,739.73,9277241,6862616741,187881,5521081,59.51
INFY,EQ,29-Mar-19,737.8,743.9,747.95,740,742.15,743.85,743.49,6924061,5147991154,155083,4592403,66.33
INFY,EQ,1-Apr-19,743.85,742,760,742,753.75,755.1,754.32,6584982,4967199560,149150,3788889,57.54
INFY,EQ,2-Apr-19,755.1,759,765.8,754.6,755,759.4,760.56,7283600,5539625143,169885,4249666,58.35
INFY,EQ,3-Apr-19,759.4,756,758.5,746.8,751.65,753.3,752.48,6897127,5189955761,200625,4213270,61.09
INFY,EQ,4-Apr-19,753.3,751.4,753.8,745.1,748.95,747.9,748.43,7688525,5754345633,178872,5138276,66.83
INFY,EQ,5-Apr-19,747.9,750.9,760.95,748,759.55,759.3,758.69,6276040,4761576373,148065,3851738,61.37
INFY,EQ,8-Apr-19,759.3,763.05,770,755.4,769.15,767.25,762.8,4919911,3752910224,143815,2380635,48.39
INFY,EQ,9-Apr-19,767.25,770,773,758.2,760.8,760.6,765.16,6730692,5150087735,146107,3353329,49.82
INFY,EQ,10-Apr-19,760.6,764,766.7,751.3,752.85,752.7,759.53,7031088,5340336511,134089,4201714,59.76
INFY,EQ,11-Apr-19,752.7,751.75,751.75,740.05,743.4,742.7,744.27,8200995,6103734443,158348,5047043,61.54
INFY,EQ,12-Apr-19,742.7,743.1,751.55,740.6,748,747.75,746.82,7043212,5260021361,165165,2587611,36.74
INFY,EQ,15-Apr-19,747.75,724.7,731.35,712.6,728.2,727.5,724.58,31574803,22878628207,566543,16753549,53.06
INFY,EQ,16-Apr-19,727.5,727.9,727.9,714.1,724,724.1,722.4,12524411,9047646706,343101,7260034,57.97
INFY,EQ,18-Apr-19,724.1,722.5,722.5,712.75,715.7,717.05,716.8,13801105,9892653589,302789,8498108,61.58
INFY,EQ,22-Apr-19,717.05,717.05,725.75,715,721.3,721.05,721.04,6455426,4654646597,115955,3535056,54.76
INFY,EQ,23-Apr-19,721.05,723.9,730,718.4,725.8,728.2,726.32,5516668,4006855184,130836,2893716,52.45
INFY,EQ,24-Apr-19,728.2,728.2,737.9,724,735,736.45,733.43,8285120,6076539568,174385,4993503,60.27
INFY,EQ,25-Apr-19,736.45,736.45,737.65,727.05,730.05,728.55,730.72,8005235,5849611510,174336,5361863,66.98
INFY,EQ,26-Apr-19,728.55,731,739.8,729,738.6,738,736.11,6895168,5075636518,151426,4168443,60.45
INFY,EQ,30-Apr-19,738,738,753.8,738,748.85,751.35,748.61,9920046,7426241722,165676,6888736,69.44
INFY,EQ,2-May-19,751.35,747,748.4,729.5,730.8,730.8,738.19,6351352,4688477303,115522,4071262,64.1
INFY,EQ,3-May-19,730.8,722.9,731,718.2,723.65,723.6,725.26,6348116,4604058031,133663,3735602,58.85
INFY,EQ,6-May-19,723.6,715,721.8,710.65,717.15,718.4,718.07,8858265,6360864406,148896,6519864,73.6
INFY,EQ,7-May-19,718.4,720.4,727.9,718.7,724.4,724.55,724.51,5747536,4164126683,104342,3690425,64.21
INFY,EQ,8-May-19,724.55,721,726,716.5,718.95,719.35,721.65,6247642,4508602896,162077,3950857,63.24
INFY,EQ,9-May-19,719.35,719.15,730.3,715.8,722,721.05,724.48,7396525,5358635227,242225,4808832,65.01
INFY,EQ,10-May-19,721.05,720.8,726,715,716.5,716.85,717.88,8352335,5995942203,181229,5545377,66.39
INFY,EQ,13-May-19,716.85,716.55,726.45,712.1,718,719.7,720.09,6808993,4903097929,201194,4745909,69.7
INFY,EQ,14-May-19,719.7,716.5,717.75,703.6,713.6,713.85,711.18,10513001,7476675551,252851,7129503,67.82
INFY,EQ,15-May-19,713.85,714.9,725.2,712.6,715.35,716.1,719.58,6668929,4798849589,139499,4056532,60.83
INFY,EQ,16-May-19,716.1,720,737,719.1,733.15,733.1,730.03,6468556,4722270061,137776,3183434,49.21
INFY,EQ,17-May-19,733.1,733.15,735.8,720.1,724.5,723.9,725.44,8155948,5916646101,126562,4816902,59.06
INFY,EQ,20-May-19,723.9,719.7,726.4,706,721.3,722.4,719.31,11213708,8066098169,209544,6433842,57.37
INFY,EQ,21-May-19,722.4,722.65,722.65,707.7,709.25,709.3,712.09,8645535,6156377506,170212,5649250,65.34
INFY,EQ,22-May-19,709.3,710,718.25,707,709.95,709.75,712.73,5795713,4130757868,141566,3096074,53.42
INFY,EQ,23-May-19,709.75,715,716.7,697.45,703.8,701.05,708.67,7233736,5126301904,176571,3889064,53.76
INFY,EQ,24-May-19,701.05,703.8,711.75,700.45,709,709.2,706.58,7016424,4957669574,143196,4530623,64.57
INFY,EQ,27-May-19,709.2,707.4,713.8,705.5,709.5,708.1,711.8,10247544,7294165659,89920,5823443,56.83
INFY,EQ,28-May-19,708.1,712,733.45,709.8,726.25,728.1,725.58,23860490,17312718820,195730,15894106,66.61
INFY,EQ,29-May-19,728.1,725.5,733.65,723.65,727,727.8,729.38,10293077,7507528235,121851,6211165,60.34
INFY,EQ,30-May-19,727.8,727,737.25,722.55,732.6,733.55,733.51,15089296,11068104089,149521,10063526,66.69
INFY,EQ,31-May-19,733.55,736.5,742.95,733.2,737,737.75,737.91,8290306,6117494485,138065,5107111,61.6
INFY,EQ,3-Jun-19,737.75,729.8,750.9,729,745.15,744.65,742.27,7744761,5748728043,97774,4539082,58.61
INFY,EQ,4-Jun-19,744.65,737.25,739.45,733.15,734.9,735.3,736.49,11733702,8641713183,109238,7602995,64.8
INFY,EQ,6-Jun-19,735.3,736.5,744.65,733.65,735.5,735.6,736.86,7563925,5573564234,124258,4651412,61.49
INFY,EQ,7-Jun-19,735.6,735.85,743.95,735.85,738.5,739.1,739.65,3218358,2380445779,98025,1674267,52.02
INFY,EQ,10-Jun-19,739.1,740.1,754.1,740.1,753,753.5,751.37,4435148,3332437616,124012,2155368,48.6
INFY,EQ,11-Jun-19,753.5,755,759,750.5,754,754.9,754.71,5733127,4326875501,131848,3559140,62.08
INFY,EQ,12-Jun-19,754.9,756.95,756.95,745,753,753.8,750.69,8738342,6559815655,169526,5682249,65.03
INFY,EQ,13-Jun-19,753.8,740,747.2,740,742.2,742.65,743.56,4808577,3575457338,97174,2798082,58.19
INFY,EQ,14-Jun-19,742.65,743.85,745.5,738.25,739.6,740.45,741.51,5556353,4120112207,105007,3805500,68.49
